state;lat;lon
Alabama;32.31823;-86.902298
Arizona;34.048928;-111.093731
Arkansas;35.20105;-91.831833
California;36.778261;-119.417932
Colorado;39.550051;-105.782067
Connecticut;41.603221;-73.087749
Delaware;38.910832;-75.52767
District of Columbia;38.905985;-77.033418
Florida;27.664827;-81.515754
Georgia;32.157435;-82.907123
Idaho;41.878003;-114.742041
Illinois;40.633125;-89.398528
Indiana;40.551217;-85.602364
Iowa;41.878003;-93.097702
Kansas;39.011902;-98.484246
Kentucky;37.839333;-84.270018
Louisiana;31.244823;-92.145024
Maine;45.253783;-69.445469
Maryland;39.045755;-76.641271
Massachusetts;42.407211;-71.382437
Michigan;44.314844;-85.602364
Minnesota;46.729553;-94.6859
Mississippi;32.354668;-89.398528
Missouri;37.964253;-91.831833
Montana;46.879682;-110.362566
Nebraska;41.492537;-99.901813
Nevada;38.80261;-116.419389
New Hampshire;43.193852;-71.572395
New Jersey;43.193852;-74.405661
New Mexico;34.97273;-105.032363
New York;43.299428;-74.217933
North Carolina;35.759573;-79.0193
North Dakota;47.551493;-101.002012
Ohio;40.417287;-82.907123
Oklahoma;35.007752;-97.092877
Oregon;43.804133;-120.554201
Pennsylvania;41.203322;-77.194525
Rhode Island;41.580095;-71.477429
South Carolina;33.836081;-81.163725
South Dakota;43.969515;-99.901813
Tennessee;43.969515;-86.580447
Texas;31.968599;-99.901813
Utah;39.32098;-111.093731
Vermont;44.558803;-72.577841
Virginia;37.431573;-78.656894
Washington;47.751074;-120.740139
West Virginia;38.597626;-80.454903
Wisconsin;43.78444;-88.787868
Wyoming;43.075968;-107.290284
