"","dteday","hr"
"1",2011-01-01,0
"2",2011-01-01,1
"3",2011-01-01,2
"4",2011-01-01,3
"5",2011-01-01,4
"6",2011-01-01,5
"7",2011-01-01,6
"8",2011-01-01,7
"9",2011-01-01,8
"10",2011-01-01,9
"11",2011-01-01,10
"12",2011-01-01,11
"13",2011-01-01,12
"14",2011-01-01,13
"15",2011-01-01,14
"16",2011-01-01,15
"17",2011-01-01,16
"18",2011-01-01,17
"19",2011-01-01,18
"20",2011-01-01,19
"21",2011-01-01,20
"22",2011-01-01,21
"23",2011-01-01,22
"24",2011-01-01,23
"25",2011-01-02,0
"26",2011-01-02,1
"27",2011-01-02,2
"28",2011-01-02,3
"29",2011-01-02,4
"30",2011-01-02,6
"31",2011-01-02,7
"32",2011-01-02,8
"33",2011-01-02,9
"34",2011-01-02,10
"35",2011-01-02,11
"36",2011-01-02,12
"37",2011-01-02,13
"38",2011-01-02,14
"39",2011-01-02,15
"40",2011-01-02,16
"41",2011-01-02,17
"42",2011-01-02,18
"43",2011-01-02,19
"44",2011-01-02,20
"45",2011-01-02,21
"46",2011-01-02,22
"47",2011-01-02,23
"48",2011-01-03,0
"49",2011-01-03,1
"50",2011-01-03,4
"51",2011-01-03,5
"52",2011-01-03,6
"53",2011-01-03,7
"54",2011-01-03,8
"55",2011-01-03,9
"56",2011-01-03,10
"57",2011-01-03,11
"58",2011-01-03,12
"59",2011-01-03,13
"60",2011-01-03,14
"61",2011-01-03,15
"62",2011-01-03,16
"63",2011-01-03,17
"64",2011-01-03,18
"65",2011-01-03,19
"66",2011-01-03,20
"67",2011-01-03,21
"68",2011-01-03,22
"69",2011-01-03,23
"70",2011-01-04,0
"71",2011-01-04,1
"72",2011-01-04,2
"73",2011-01-04,4
"74",2011-01-04,5
"75",2011-01-04,6
"76",2011-01-04,7
"77",2011-01-04,8
"78",2011-01-04,9
"79",2011-01-04,10
"80",2011-01-04,11
"81",2011-01-04,12
"82",2011-01-04,13
"83",2011-01-04,14
"84",2011-01-04,15
"85",2011-01-04,16
"86",2011-01-04,17
"87",2011-01-04,18
"88",2011-01-04,19
"89",2011-01-04,20
"90",2011-01-04,21
"91",2011-01-04,22
"92",2011-01-04,23
"93",2011-01-05,0
"94",2011-01-05,1
"95",2011-01-05,2
"96",2011-01-05,4
"97",2011-01-05,5
"98",2011-01-05,6
"99",2011-01-05,7
"100",2011-01-05,8
"101",2011-01-05,9
"102",2011-01-05,10
"103",2011-01-05,11
"104",2011-01-05,12
"105",2011-01-05,13
"106",2011-01-05,14
"107",2011-01-05,15
"108",2011-01-05,16
"109",2011-01-05,17
"110",2011-01-05,18
"111",2011-01-05,19
"112",2011-01-05,20
"113",2011-01-05,21
"114",2011-01-05,22
"115",2011-01-05,23
"116",2011-01-06,0
"117",2011-01-06,1
"118",2011-01-06,2
"119",2011-01-06,4
"120",2011-01-06,5
"121",2011-01-06,6
"122",2011-01-06,7
"123",2011-01-06,8
"124",2011-01-06,9
"125",2011-01-06,10
"126",2011-01-06,11
"127",2011-01-06,12
"128",2011-01-06,13
"129",2011-01-06,14
"130",2011-01-06,15
"131",2011-01-06,16
"132",2011-01-06,17
"133",2011-01-06,18
"134",2011-01-06,19
"135",2011-01-06,20
"136",2011-01-06,21
"137",2011-01-06,22
"138",2011-01-06,23
"139",2011-01-07,0
"140",2011-01-07,1
"141",2011-01-07,2
"142",2011-01-07,4
"143",2011-01-07,5
"144",2011-01-07,6
"145",2011-01-07,7
"146",2011-01-07,8
"147",2011-01-07,9
"148",2011-01-07,10
"149",2011-01-07,11
"150",2011-01-07,12
"151",2011-01-07,13
"152",2011-01-07,14
"153",2011-01-07,15
"154",2011-01-07,16
"155",2011-01-07,17
"156",2011-01-07,18
"157",2011-01-07,19
"158",2011-01-07,20
"159",2011-01-07,21
"160",2011-01-07,22
